('Net Interest Income', '1,305,000', '1,153,000', '1,730,000', '2,327,000', '1,764,000')
         487401 function calls (469663 primitive calls) in 1.517 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    104/3    0.000    0.000    0.173    0.058 <frozen importlib._bootstrap_external>:877(exec_module)
      104    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      104    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
       98    0.000    0.000    0.000    0.000 constant.py:336(<lambda>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       94    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
       93    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       93    0.000    0.000    0.001    0.000 enum.py:980(__or__)
       91    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
       90    0.000    0.000    0.001    0.000 typing.py:947(__init__)
       90    0.000    0.000    0.001    0.000 typing.py:1016(__init__)
       89    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
       87    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       87    0.000    0.000    0.000    0.000 typing.py:1143(<genexpr>)
       85    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       85    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       85    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
       84    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
       84    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
       79    0.000    0.000    0.002    0.000 parser.py:122(set_cdata_mode)
       79    0.000    0.000    0.000    0.000 element.py:1570(__eq__)
       78    0.000    0.000    0.000    0.000 typing.py:515(<genexpr>)
       77    0.000    0.000    0.004    0.000 css_parser.py:474(parse_attribute_selector)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       68    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
    68/46    0.000    0.000    0.096    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       67    0.000    0.000    0.006    0.000 _htmlparser.py:107(handle_startendtag)
       66    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       66    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       66    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
       63    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       63    0.000    0.000    0.001    0.000 typing.py:1147(copy_with)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
       61    0.000    0.000    0.000    0.000 dammit.py:166(<listcomp>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
    59/57    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       59    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       59    0.000    0.000    0.000    0.000 re.py:269(escape)
       58    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       56    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       56    0.000    0.000    0.000    0.000 element.py:1363(_all_strings)
       53    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       53    0.000    0.000    0.000    0.000 six.py:178(_add_module)
       52    0.000    0.000    0.002    0.000 css_parser.py:1113(<listcomp>)
    52/14    0.001    0.000    0.013    0.001 css_parser.py:925(parse_selectors)
       51    0.000    0.000    0.000    0.000 element.py:388(_last_descendant)
       50    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       50    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
       48    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       46    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       46    0.000    0.000    0.000    0.000 six.py:108(__init__)
       45    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
       44    0.000    0.000    0.000    0.000 ipaddress.py:1878(__init__)
    43/26    0.000    0.000    0.001    0.000 typing.py:401(__getitem__)
       42    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
    42/30    0.000    0.000    0.010    0.000 css_parser.py:581(parse_pseudo_class)
       42    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       42    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
       41    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       40    0.000    0.000    0.000    0.000 typing.py:1234(<genexpr>)
    38/29    0.000    0.000    0.010    0.000 css_parser.py:741(parse_pseudo_open)
       38    0.000    0.000    0.001    0.000 typing.py:1138(__getitem__)
       38    0.000    0.000    0.000    0.000 typing.py:223(_check_generic)
