('Net Interest Income', '1,305,000', '1,153,000', '1,730,000', '2,327,000', '1,764,000')
         487371 function calls (469633 primitive calls) in 3.463 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.097    0.097 __init__.py:120(__init__)
        1    0.000    0.000    0.004    0.004 ssl_.py:250(create_urllib3_context)
     1003    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      695    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
      305    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       91    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      161    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
      305    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      109    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1266(IPv4Address)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       68    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      260    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      228    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       26    0.000    0.000    0.001    0.000 typing.py:483(Union)
        1    0.000    0.000    0.164    0.164 connection.py:356(connect)
     1003    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      416    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      109    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
     19/6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
       42    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       10    0.000    0.000    0.003    0.000 enum.py:483(_create_)
       48    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
    42/30    0.000    0.000    0.012    0.000 css_parser.py:581(parse_pseudo_class)
      405    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      125    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
    168/3    0.000    0.000    0.171    0.057 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      408    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      968    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      406    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
    68/46    0.000    0.000    0.095    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      407    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       50    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       38    0.000    0.000    0.001    0.000 typing.py:1138(__getitem__)
    38/29    0.000    0.000    0.012    0.000 css_parser.py:741(parse_pseudo_open)
        1    0.000    0.000    0.063    0.063 css_parser.py:1(<module>)
        1    0.000    0.000    0.026    0.026 dammit.py:67(EntitySubstitution)
      285    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
       29    0.000    0.000    0.000    0.000 ipaddress.py:1606(_ip_int_from_string)
       42    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
        1    0.000    0.000    0.080    0.080 ssl.py:1014(_create)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
        2    0.000    0.000    0.001    0.001 feedparser.py:218(_parsegen)
        1    0.000    0.000    0.030    0.030 connectionpool.py:1(<module>)
       10    0.000    0.000    0.001    0.000 enum.py:947(_create_pseudo_member_)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      255    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       31    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       66    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
      285    0.000    0.000    0.000    0.000 enum.py:801(value)
      332    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        4    0.000    0.000    0.002    0.000 ssl_match_hostname.py:25(_dnsname_match)
       52    0.000    0.000    0.003    0.000 css_parser.py:1113(<listcomp>)
      154    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
